Country.of.Origin,Processing.Method,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Moisture,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Total.Cup.Points,Specialty_Grade
Ethiopia,Natural / Dry,1800.0,3,1,0.11,7.83,7.75,7.67,7.75,7.33,7.75,84.0,1
Honduras,Washed / Wet,1500.0,0,5,0.1,7.42,7.83,7.75,7.92,7.75,7.58,84.0,1
Guatemala,Washed / Wet,1706.88,0,7,0.12,7.67,7.83,7.58,7.92,7.75,7.67,84.0,1
Colombia,Washed / Wet,1600.0,2,7,0.11,7.67,7.67,7.83,7.58,7.58,7.83,84.0,1
Guatemala,Natural / Dry,1219.2,0,1,0.1,7.92,7.67,7.42,7.92,7.75,7.83,84.0,1
Guatemala,Other,1219.2,0,0,0.1,7.75,7.83,7.5,7.83,7.58,7.67,84.0,1
Colombia,Washed / Wet,1480.0,0,0,0.12,7.67,7.75,7.67,7.67,7.67,7.75,84.0,1
Colombia,Natural / Dry,1450.0,0,0,0.12,7.58,7.42,7.75,7.92,7.75,7.92,84.0,1
Colombia,Washed / Wet,1775.0,0,3,0.12,7.67,7.67,7.5,7.5,7.67,7.67,84.0,1
Ethiopia,Natural / Dry,1550.0,4,40,0.09,7.75,7.75,7.5,7.58,7.67,7.92,84.0,1
Brazil,Natural / Dry,1260.0,0,0,0.1,7.58,7.83,7.67,7.25,8.0,7.75,84.0,1
Colombia,Washed / Wet,1700.0,0,1,0.11,7.67,7.83,7.67,7.75,7.67,7.75,84.0,1
Kenya,Washed / Wet,1200.0,0,2,0.0,7.67,7.83,7.5,7.75,7.92,7.67,84.0,1
Thailand,Washed / Wet,1310.64,0,0,0.12,7.92,8.17,8.17,8.42,8.08,8.17,84.0,1
Kenya,Washed / Wet,1650.0,0,0,0.0,7.67,7.75,7.67,7.75,7.83,7.67,84.0,1
Uganda,Washed / Wet,1700.0,10,26,0.1,7.92,7.75,7.58,7.67,7.67,7.83,84.0,1
Thailand,Washed / Wet,1310.64,0,0,0.06,7.58,7.75,7.58,7.75,7.58,7.75,84.0,1
Brazil,Natural / Dry,890.0,0,3,0.0,7.5,7.75,7.58,7.5,7.58,7.5,83.92,1
Mexico,Washed / Wet,1300.0,0,5,0.11,7.83,7.83,7.58,7.92,7.42,7.5,83.92,1
Thailand,Natural / Dry,1350.0,0,1,0.1,7.67,7.75,7.5,7.67,7.67,7.83,83.92,1
Brazil,Natural / Dry,934.0,0,7,0.11,7.58,7.67,7.67,7.75,7.58,7.83,83.92,1
Taiwan,Washed / Wet,1200.0,0,3,0.11,7.83,7.75,7.83,7.75,7.83,7.75,83.92,1
Colombia,Washed / Wet,442.0,1,2,0.11,7.75,7.67,7.5,7.75,7.83,7.75,83.92,1
Colombia,Washed / Wet,1310.64,1,5,0.0,7.75,7.58,7.5,7.83,7.75,7.92,83.92,1
Taiwan,Natural / Dry,1310.64,0,0,0.0,7.75,7.75,7.58,7.75,7.75,7.67,83.92,1
Colombia,Washed / Wet,1310.64,0,0,0.0,7.92,7.67,7.5,7.83,7.58,7.67,83.92,1
Colombia,Washed / Wet,1310.64,1,1,0.0,7.83,7.75,7.58,7.58,7.75,7.75,83.92,1
Colombia,Washed / Wet,1775.0,0,1,0.0,7.75,7.58,7.67,7.83,7.83,7.67,83.92,1
Taiwan,Washed / Wet,950.0,0,0,0.06,8.0,7.92,7.92,7.92,7.67,7.33,83.92,1
Colombia,Natural / Dry,1550.0,0,3,0.12,7.67,7.83,7.67,7.75,7.67,7.83,83.92,1
Mexico,Washed / Wet,900.0,10,32,0.12,7.67,7.75,7.58,7.67,7.75,7.83,83.92,1
Mexico,Washed / Wet,1500.0,0,2,0.11,7.5,7.67,7.58,7.83,7.75,7.75,83.92,1
Mexico,Washed / Wet,1400.0,0,2,0.0,7.75,7.92,7.83,7.92,7.75,7.67,83.92,1
Colombia,Washed / Wet,2527.0,1,6,0.0,7.92,7.58,7.5,7.83,7.58,7.67,83.83,1
Colombia,Washed / Wet,1310.64,1,0,0.0,7.83,7.67,7.5,7.75,7.75,7.75,83.83,1
Costa Rica,Washed / Wet,1850.0,0,0,0.0,7.67,7.67,7.75,7.67,7.5,7.75,83.83,1
Guatemala,Washed / Wet,1500.0,0,6,0.11,7.75,7.75,7.5,7.75,7.83,7.58,83.83,1
Taiwan,Washed / Wet,1200.0,0,0,0.0,7.75,7.67,7.5,7.75,7.75,7.67,83.83,1
Brazil,Natural / Dry,1.0,0,0,0.0,7.25,7.58,7.42,8.0,7.75,7.83,83.83,1
Taiwan,Washed / Wet,525.0,0,1,0.0,7.67,7.75,7.67,7.75,7.42,7.75,83.83,1
Ethiopia,Natural / Dry,1676.5,0,4,0.12,7.75,7.75,7.67,7.67,7.58,7.67,83.83,1
Brazil,Semi-washed / Semi-pulped,1200.0,0,1,0.0,7.67,7.67,7.58,7.5,7.83,8.17,83.83,1
Costa Rica,Washed / Wet,1300.0,0,3,0.1,7.83,7.42,7.5,7.83,7.75,7.83,83.83,1
Guatemala,Washed / Wet,1219.2,0,1,0.1,7.58,7.83,7.33,8.0,7.58,7.75,83.83,1
Brazil,Natural / Dry,1260.0,0,0,0.1,7.92,7.5,7.33,7.67,8.17,7.5,83.83,1
Ecuador,Natural / Dry,800.0,0,0,0.09,7.5,7.67,7.58,7.75,7.83,7.83,83.83,1
Colombia,Washed / Wet,1750.0,0,1,0.11,7.67,7.58,7.58,7.83,7.58,7.67,83.83,1
Guatemala,Washed / Wet,1310.64,0,3,0.11,7.5,7.83,7.5,7.83,7.83,7.67,83.83,1
Mexico,Natural / Dry,1218.0,0,2,0.1,7.67,8.0,7.67,7.42,7.67,7.5,83.83,1
Mexico,Natural / Dry,1300.0,0,4,0.11,7.67,7.58,7.5,7.75,7.75,7.75,83.83,1
Brazil,Semi-washed / Semi-pulped,1250.0,0,3,0.12,7.83,7.83,7.58,7.67,7.5,7.58,83.83,1
Thailand,Washed / Wet,1499.9208,0,2,0.02,7.75,7.75,7.58,8.0,7.67,7.58,83.83,1
Thailand,Washed / Wet,1310.64,0,0,0.01,7.5,7.83,7.58,7.58,7.75,7.83,83.83,1
Ethiopia,Washed / Wet,1310.64,0,3,0.1,7.58,7.83,7.58,8.0,7.83,7.5,83.83,1
Kenya,Washed / Wet,1800.0,0,2,0.11,7.75,7.58,7.5,7.58,7.75,7.75,83.75,1
Brazil,Natural / Dry,890.0,0,5,0.11,7.67,7.67,7.58,7.75,7.67,7.67,83.75,1
Colombia,Washed / Wet,442.0,0,1,0.11,7.83,7.83,7.58,7.58,7.58,7.58,83.75,1
Taiwan,Natural / Dry,750.0,0,0,0.0,7.67,7.67,7.58,7.58,7.67,7.83,83.75,1
Colombia,Washed / Wet,1310.64,1,4,0.0,7.92,7.75,7.5,7.67,7.75,7.5,83.75,1
China,Washed / Wet,1650.0,0,2,0.1,7.83,7.75,7.67,7.5,7.58,7.67,83.75,1
Colombia,Natural / Dry,442.0,0,0,0.0,7.75,7.67,7.5,7.67,7.58,7.83,83.75,1
Uganda,Natural / Dry,1400.0,0,0,0.12,8.0,7.92,7.58,7.75,7.33,7.5,83.75,1
United States (Puerto Rico),Washed / Wet,853.44,0,1,0.12,7.83,7.83,7.83,7.67,8.0,8.17,83.75,1
Colombia,Washed / Wet,1775.0,0,5,0.0,7.67,7.67,7.67,7.92,7.5,7.67,83.75,1
Colombia,Washed / Wet,1550.0,0,3,0.0,7.67,7.42,7.42,7.42,8.0,8.33,83.75,1
Colombia,Washed / Wet,1750.0,0,1,0.0,7.58,7.67,7.75,7.67,7.67,7.67,83.75,1
Colombia,Washed / Wet,1750.0,0,3,0.11,7.75,7.67,7.75,7.58,7.42,8.0,83.75,1
United States (Hawaii),Natural / Dry,1310.64,0,0,0.0,7.25,7.42,7.67,7.58,7.83,8.25,83.75,1
Mexico,Natural / Dry,700.0,5,5,0.13,7.83,7.58,7.58,7.5,7.75,7.67,83.75,1
Guatemala,Washed / Wet,1300.0,0,1,0.11,7.67,7.58,7.58,7.67,7.75,7.75,83.75,1
Colombia,Washed / Wet,1600.0,0,1,0.1,7.83,7.83,7.58,7.33,7.42,7.67,83.75,1
Colombia,Washed / Wet,1600.0,0,1,0.06,7.75,7.67,7.25,7.25,7.58,8.5,83.75,1
United States (Hawaii),Washed / Wet,1310.64,0,0,0.0,7.83,7.67,7.75,7.67,7.58,7.5,83.75,1
Brazil,Natural / Dry,890.0,0,2,0.11,7.67,7.83,7.5,7.67,7.67,7.5,83.67,1
Kenya,Washed / Wet,1700.0,0,0,0.11,8.08,7.67,7.67,7.58,7.25,7.67,83.67,1
Honduras,Washed / Wet,1400.0,0,2,0.1,7.5,7.5,7.67,7.67,8.0,8.0,83.67,1
Nicaragua,Washed / Wet,1250.0,0,3,0.1,7.67,7.75,7.67,7.67,7.83,7.58,83.67,1
Brazil,Natural / Dry,934.0,0,3,0.11,7.58,7.75,7.58,7.75,7.58,7.58,83.67,1
Taiwan,Natural / Dry,1200.0,0,0,0.1,7.5,7.67,7.33,7.92,7.83,7.67,83.67,1
Costa Rica,Washed / Wet,1350.0,0,1,0.11,7.33,7.67,7.67,7.5,7.67,7.5,83.67,1
Thailand,Washed / Wet,800.0,0,0,0.12,7.5,7.75,7.58,7.83,7.67,7.58,83.67,1
Colombia,Washed / Wet,1625.0,0,4,0.11,7.5,7.75,7.5,7.75,7.67,7.67,83.67,1
Guatemala,Washed / Wet,1356.6648,0,0,0.1,8.0,7.5,7.33,8.0,8.0,8.0,83.67,1
Colombia,Washed / Wet,1750.0,0,3,0.0,7.83,7.75,7.67,7.58,7.58,7.67,83.67,1
Colombia,Washed / Wet,1900.0,0,1,0.0,7.67,7.67,7.67,7.67,7.33,7.75,83.67,1
Guatemala,Washed / Wet,1310.64,1,3,0.12,7.67,7.67,7.42,7.67,8.0,7.75,83.67,1
Guatemala,Washed / Wet,1310.64,0,2,0.11,7.83,7.67,7.33,7.67,7.67,7.83,83.67,1
Colombia,Washed / Wet,1750.0,0,1,0.11,7.75,7.75,7.58,7.83,7.17,7.75,83.67,1
Guatemala,Natural / Dry,1450.0,0,1,0.11,8.17,8.17,7.83,7.67,8.08,7.75,83.67,1
Guatemala,Washed / Wet,1310.64,0,13,0.11,7.67,8.17,7.5,7.42,7.58,7.83,83.67,1
Mexico,Washed / Wet,1100.0,4,11,0.12,7.67,7.5,7.5,7.33,7.83,8.25,83.67,1
Indonesia,Washed / Wet,1400.0,0,0,0.12,8.17,7.67,7.58,7.58,7.42,7.67,83.67,1
Guatemala,Washed / Wet,1524.0,0,0,0.1,7.67,7.5,7.33,8.0,7.67,7.67,83.67,1
United States (Hawaii),Washed / Wet,1310.64,0,0,0.0,7.75,8.0,7.92,8.08,7.75,8.0,83.67,1
Brazil,Natural / Dry,890.0,0,5,0.11,7.58,7.67,7.58,7.58,7.67,7.58,83.58,1
Guatemala,Washed / Wet,1128.3696,0,0,0.11,7.75,7.75,7.5,7.83,7.58,7.58,83.58,1
Colombia,Washed / Wet,1310.64,0,4,0.11,7.75,7.75,7.58,7.58,7.67,7.58,83.58,1
China,Washed / Wet,1100.0,0,4,0.1,7.67,7.58,7.58,7.58,7.67,7.75,83.58,1
Colombia,Washed / Wet,1775.0,0,3,0.12,7.67,7.75,7.58,7.67,7.75,7.58,83.58,1
Mexico,Washed / Wet,1200.0,1,13,0.12,7.75,7.75,7.58,7.58,7.5,7.67,83.58,1
Ethiopia,Washed / Wet,1850.0,0,7,0.0,7.75,7.67,7.58,7.67,7.5,7.67,83.58,1
Uganda,Washed / Wet,1800.0,0,5,0.12,7.67,7.67,7.42,7.75,7.75,7.67,83.58,1
Colombia,Natural / Dry,1600.0,0,0,0.0,7.67,7.58,7.67,7.67,7.67,7.67,83.58,1
Colombia,Washed / Wet,1550.0,0,1,0.12,7.67,7.58,7.67,7.58,7.67,7.75,83.58,1
Colombia,Washed / Wet,1550.0,0,0,0.0,7.75,7.58,7.5,7.58,7.75,7.83,83.58,1
Taiwan,Other,1000.0,0,0,0.11,7.75,7.75,7.75,7.75,7.5,7.58,83.58,1
Colombia,Washed / Wet,1775.0,0,3,0.11,7.67,7.67,7.58,7.67,7.75,7.58,83.58,1
Mexico,Washed / Wet,1000.0,0,2,0.12,7.83,7.67,7.58,7.58,7.67,7.58,83.58,1
Colombia,Natural / Dry,2136.0,0,4,0.11,7.67,7.58,7.58,7.58,7.67,7.75,83.58,1
Brazil,Semi-washed / Semi-pulped,1100.0,0,2,0.12,7.83,7.75,7.5,7.75,7.5,7.58,83.58,1
Colombia,Washed / Wet,1799.0,0,5,0.0,7.75,7.58,7.58,7.75,7.75,7.5,83.5,1
Taiwan,Washed / Wet,1310.64,0,0,0.11,7.58,7.58,7.17,7.17,7.0,7.0,83.5,1
Costa Rica,Washed / Wet,1850.0,0,0,0.0,7.92,7.42,7.5,7.67,7.5,7.67,83.5,1
Colombia,Natural / Dry,1000.0,0,0,0.0,7.75,7.58,7.58,7.5,7.75,7.75,83.5,1
Guatemala,Washed / Wet,1219.2,0,5,0.1,7.67,7.75,7.5,7.83,7.58,7.58,83.5,1
Colombia,Washed / Wet,1775.0,0,4,0.12,7.58,7.58,7.58,7.58,7.75,7.67,83.5,1
"Tanzania, United Republic Of",Washed / Wet,1400.0,0,21,0.13,7.75,7.67,7.58,7.67,7.67,7.58,83.5,1
Indonesia,Semi-washed / Semi-pulped,1500.0,0,8,0.13,7.25,7.67,7.58,7.92,7.83,7.58,83.5,1
Ethiopia,Natural / Dry,1600.0,1,18,0.1,7.67,7.75,7.5,7.58,7.75,7.67,83.5,1
Colombia,Washed / Wet,1310.64,1,0,0.0,7.67,7.42,7.67,7.83,7.58,7.67,83.5,1
Colombia,Washed / Wet,1850.0,0,0,0.11,8.0,7.58,7.25,7.58,7.92,7.58,83.5,1
Guatemala,Washed / Wet,1400.0,0,0,0.1,7.58,7.75,7.5,7.83,7.42,7.67,83.5,1
Colombia,Washed / Wet,1650.0,2,0,0.0,7.75,7.58,7.33,7.5,7.83,7.83,83.5,1
Honduras,Natural / Dry,1350.0,0,3,0.1,7.67,7.5,7.67,7.5,7.67,7.67,83.5,1
Colombia,Washed / Wet,1750.0,1,1,0.0,7.58,7.75,7.42,7.67,7.75,7.67,83.5,1
Colombia,Washed / Wet,1750.0,0,2,0.11,7.58,7.67,7.58,7.75,7.58,7.75,83.5,1
Mexico,Natural / Dry,1170.0,0,14,0.13,7.83,7.58,7.25,7.5,7.5,7.42,83.5,1
Mexico,Semi-washed / Semi-pulped,940.0,0,12,0.11,7.67,7.75,7.67,7.75,7.58,7.5,83.5,1
Mexico,Washed / Wet,1400.0,0,0,0.12,7.75,7.67,7.67,7.75,7.33,7.5,83.5,1
Guatemala,Washed / Wet,1524.0,0,5,0.1,7.83,7.5,7.5,8.0,7.67,7.5,83.5,1
Colombia,Washed / Wet,1775.0,0,0,0.11,7.67,7.58,7.58,7.67,7.67,7.67,83.5,1
Guatemala,Washed / Wet,1402.08,3,12,0.0,7.5,7.5,7.75,7.5,8.0,7.67,83.5,1
United States (Hawaii),Washed / Wet,1310.64,0,0,0.01,7.5,7.67,7.58,7.92,7.58,7.67,83.5,1
Indonesia,Washed / Wet,1600.0,0,0,0.0,7.83,7.58,7.58,7.58,7.75,7.58,83.5,1
Colombia,Washed / Wet,439.0,0,1,0.0,7.5,7.58,7.58,7.5,7.75,7.83,83.42,1
Guatemala,Washed / Wet,1700.0,0,3,0.1,7.67,7.75,7.5,7.58,7.58,7.67,83.42,1
Colombia,Washed / Wet,442.0,0,2,0.11,7.67,7.67,7.5,7.67,7.67,7.58,83.42,1
Costa Rica,Washed / Wet,1850.0,0,4,0.09,7.58,7.5,7.42,7.92,7.5,7.67,83.42,1
Taiwan,Washed / Wet,1310.64,0,0,0.11,7.67,7.67,7.0,7.08,7.0,7.0,83.42,1
Uganda,Washed / Wet,1800.0,0,1,0.11,7.58,7.75,7.33,7.75,7.67,7.58,83.42,1
Thailand,Washed / Wet,1200.0,0,0,0.13,7.5,7.58,7.75,7.5,7.75,7.67,83.42,1
El Salvador,Washed / Wet,1330.0,0,0,0.11,7.58,7.5,7.75,7.58,7.75,7.67,83.42,1
Colombia,Natural / Dry,442.0,4,0,0.12,7.58,7.67,7.58,7.67,7.58,7.67,83.42,1
Brazil,Semi-washed / Semi-pulped,1310.64,0,6,0.12,7.33,7.83,7.75,7.5,7.42,7.83,83.42,1
"Tanzania, United Republic Of",Washed / Wet,1600.0,0,4,0.13,7.75,7.67,7.58,7.67,7.58,7.58,83.42,1
Colombia,Washed / Wet,1813.0,0,1,0.12,7.58,7.58,7.25,7.75,7.75,8.58,83.42,1
Guatemala,Natural / Dry,1219.2,0,1,0.1,7.75,7.83,7.33,7.83,7.5,7.67,83.42,1
Guatemala,Washed / Wet,1500.0,0,2,0.1,7.67,7.75,7.5,7.83,7.58,7.5,83.42,1
Guatemala,Washed / Wet,1310.64,0,0,0.11,7.67,7.5,7.75,7.42,7.75,7.75,83.42,1
United States (Hawaii),Natural / Dry,1310.64,0,2,0.0,7.42,7.75,7.67,7.58,7.67,7.67,83.42,1
Colombia,Washed / Wet,1450.0,0,2,0.11,7.5,7.75,7.58,7.5,7.67,7.75,83.42,1
Colombia,Washed / Wet,1310.64,1,3,0.1,7.58,7.58,7.58,7.67,7.75,7.67,83.42,1
United States (Hawaii),Washed / Wet,1310.64,0,0,0.01,7.5,7.92,7.42,7.67,7.83,7.58,83.42,1
Thailand,Washed / Wet,1310.64,0,0,0.11,7.58,7.25,7.5,7.92,7.92,7.42,83.42,1
Mexico,Washed / Wet,1050.0,2,4,0.09,7.25,7.88,7.38,7.63,7.5,8.75,83.38,1
Colombia,Washed / Wet,1650.0,0,0,0.0,7.75,7.5,7.75,7.58,7.58,7.58,83.33,1
Colombia,Washed / Wet,1310.64,0,0,0.0,7.67,7.58,7.58,7.42,7.67,7.75,83.33,1
Colombia,Washed / Wet,1310.64,1,2,0.0,7.83,7.58,7.58,7.58,7.5,7.58,83.33,1
Brazil,Semi-washed / Semi-pulped,1227.0,1,5,0.1,7.5,7.83,7.33,7.58,7.58,7.92,83.33,1
Mexico,Washed / Wet,1200.0,0,2,0.12,7.75,7.75,7.5,7.67,7.5,7.58,83.33,1
Colombia,Washed / Wet,1650.0,0,1,0.11,7.67,7.75,7.42,7.83,7.83,7.42,83.33,1
"Tanzania, United Republic Of",Semi-washed / Semi-pulped,1700.0,0,6,0.12,7.75,7.58,7.67,7.58,7.58,7.58,83.33,1
Mexico,Washed / Wet,1100.0,0,0,0.12,7.67,7.67,7.58,7.67,7.5,7.58,83.33,1
Costa Rica,Washed / Wet,1300.0,0,3,0.12,7.67,7.67,7.42,7.67,7.67,7.67,83.33,1
United States (Hawaii),Natural / Dry,1310.64,0,1,0.11,7.83,7.58,7.83,7.67,7.92,8.0,83.33,1
Costa Rica,Washed / Wet,1200.0,0,3,0.11,7.5,7.67,7.67,7.5,7.83,7.17,83.33,1
Peru,Washed / Wet,1310.64,0,5,0.12,7.83,7.75,7.58,7.83,7.92,7.58,83.33,1
Haiti,Washed / Wet,1280.16,0,4,0.11,7.58,7.5,7.67,7.5,7.83,7.42,83.33,1
Colombia,Natural / Dry,1000.0,0,1,0.11,7.67,7.67,7.5,7.67,7.92,7.42,83.33,1
Guatemala,Washed / Wet,1310.64,0,3,0.11,7.83,7.67,7.17,7.67,7.67,7.67,83.33,1
United States (Hawaii),Natural / Dry,1310.64,0,4,0.1,7.92,7.5,7.58,7.83,7.67,7.67,83.33,1
Burundi,Washed / Wet,1880.0,0,5,0.0,7.75,7.67,7.33,7.5,7.5,7.75,83.33,1
Colombia,Washed / Wet,1750.0,0,1,0.0,7.5,7.67,7.67,7.58,7.67,7.58,83.33,1
United States (Hawaii),Washed / Wet,1310.64,0,0,0.01,8.08,7.83,7.83,7.75,7.67,7.58,83.33,1
United States (Hawaii),Washed / Wet,1310.64,0,0,0.0,7.58,7.67,7.58,7.5,7.83,7.67,83.33,1
Mexico,Washed / Wet,1600.0,0,0,0.11,7.67,7.83,7.42,7.83,7.33,7.5,83.25,1
Costa Rica,Pulped natural / honey,1900.0,0,0,0.11,7.5,7.5,7.83,7.5,7.67,7.67,83.25,1
Costa Rica,Washed / Wet,1310.64,0,0,0.11,7.83,7.5,7.42,7.67,7.5,7.67,83.25,1
Guatemala,Washed / Wet,2100.0,0,7,0.11,7.5,7.58,7.42,7.83,7.67,7.58,83.25,1
Uganda,Washed / Wet,1310.64,0,1,0.12,7.5,7.67,7.67,7.42,7.67,7.67,83.25,1
Brazil,Washed / Wet,1310.64,0,4,0.12,7.58,7.67,7.42,7.5,7.67,7.42,83.25,1
Colombia,Natural / Dry,442.0,0,2,0.0,7.58,7.67,7.67,7.17,7.75,7.83,83.25,1
Mexico,Natural / Dry,1261.0,0,2,0.12,7.83,7.75,7.5,7.58,7.58,7.58,83.25,1
Taiwan,Washed / Wet,1000.0,0,0,0.1,7.67,7.5,7.5,7.5,7.67,7.83,83.25,1
Taiwan,Washed / Wet,800.0,0,0,0.1,7.92,7.83,7.75,7.58,7.5,7.33,83.25,1
Colombia,Natural / Dry,1483.0,0,0,0.0,7.58,7.58,7.5,7.58,7.58,7.75,83.25,1
Guatemala,Washed / Wet,1500.0,0,1,0.1,7.5,7.67,7.58,7.67,7.67,7.5,83.25,1
Colombia,Washed / Wet,1750.0,0,1,0.11,7.83,7.5,7.67,7.33,7.67,7.67,83.25,1
Mexico,Washed / Wet,1300.0,0,6,0.12,7.58,7.75,7.5,7.5,7.58,7.58,83.25,1
United States (Hawaii),Natural / Dry,1310.64,0,4,0.11,7.58,7.75,7.83,8.0,8.08,7.67,83.25,1
Mexico,Washed / Wet,1310.64,0,7,0.13,7.75,7.58,7.58,7.58,7.5,7.58,83.25,1
Mexico,Washed / Wet,1000.0,0,0,0.12,7.75,7.75,7.42,7.92,7.33,7.5,83.25,1
Guatemala,Washed / Wet,1310.64,0,9,0.11,7.83,7.58,7.08,7.83,7.42,8.08,83.25,1
Brazil,Semi-washed / Semi-pulped,1200.0,0,1,0.11,7.75,7.67,7.5,7.58,7.58,7.58,83.25,1
Colombia,Washed / Wet,175.0,0,1,0.12,7.67,7.58,7.58,7.42,7.83,7.58,83.25,1
Colombia,Washed / Wet,1775.0,0,0,0.11,7.67,7.67,7.5,7.5,7.58,7.67,83.25,1
Colombia,Washed / Wet,1700.0,0,0,0.08,7.92,7.75,7.25,7.42,7.83,7.58,83.25,1
Colombia,Washed / Wet,1880.0,0,1,0.13,8.0,7.67,7.67,7.25,7.67,7.5,83.25,1
Colombia,Washed / Wet,1800.0,0,1,0.04,7.92,7.75,7.5,7.42,7.42,7.67,83.25,1
Brazil,Natural / Dry,890.0,0,4,0.11,7.67,7.42,7.5,7.58,7.67,7.58,83.17,1
Guatemala,Washed / Wet,1901.0,0,1,0.1,7.58,7.58,7.33,7.67,7.75,7.58,83.17,1
"Tanzania, United Republic Of",Washed / Wet,168.0,0,3,0.12,7.67,7.58,7.42,7.67,7.67,7.58,83.17,1
Peru,Washed / Wet,1310.64,0,0,0.11,7.92,7.5,7.5,7.58,7.67,7.5,83.17,1
Vietnam,Natural / Dry,1550.0,0,0,0.07,7.58,7.42,7.08,7.33,7.58,8.58,83.17,1
Guatemala,Washed / Wet,1500.0,2,3,0.11,7.67,7.75,7.42,7.75,7.58,7.5,83.17,1
Honduras,Washed / Wet,1450.0,0,1,0.11,7.67,7.67,7.5,7.67,7.5,7.67,83.17,1
China,Washed / Wet,1200.0,0,0,0.11,7.5,7.67,7.33,7.67,7.67,7.67,83.17,1
China,Washed / Wet,1600.0,0,3,0.1,7.67,7.67,7.5,7.67,7.42,7.58,83.17,1
El Salvador,Washed / Wet,1350.0,0,0,0.0,7.5,7.5,7.33,7.67,8.0,7.67,83.17,1
Guatemala,Washed / Wet,1500.0,0,1,0.11,7.5,7.75,7.5,7.83,7.58,7.5,83.17,1
Guatemala,Washed / Wet,1650.0,0,3,0.12,7.92,7.67,7.42,7.75,7.5,7.5,83.17,1
Kenya,Washed / Wet,250.5,0,1,0.1,7.83,7.75,7.67,7.75,7.83,8.5,83.17,1
Thailand,Washed / Wet,800.0,0,0,0.12,7.67,7.58,7.58,7.75,7.42,7.67,83.17,1
"Tanzania, United Republic Of",Washed / Wet,1653.0,0,6,0.13,7.58,7.67,7.67,7.58,7.42,7.58,83.17,1
Colombia,Washed / Wet,1775.0,0,4,0.0,7.58,7.5,7.5,7.67,7.5,7.67,83.17,1
Uganda,Washed / Wet,1800.0,0,0,0.1,8.0,7.67,7.5,7.42,7.33,7.58,83.17,1
Colombia,Washed / Wet,1310.64,10,3,0.11,7.58,7.75,7.5,7.58,7.58,7.58,83.17,1
Honduras,Natural / Dry,1450.0,0,5,0.1,7.5,7.5,7.5,7.67,7.67,7.67,83.17,1
Honduras,Natural / Dry,1350.0,0,3,0.11,7.67,7.67,7.5,7.67,7.5,7.67,83.17,1
Guatemala,Washed / Wet,1524.0,0,1,0.09,7.33,7.83,7.17,8.17,7.33,7.67,83.17,1
United States (Hawaii),Natural / Dry,1310.64,0,0,0.11,7.5,7.5,7.58,7.42,7.92,7.67,83.17,1
"Tanzania, United Republic Of",Washed / Wet,1800.0,0,1,0.12,7.58,7.5,7.58,7.75,7.58,7.58,83.17,1
Guatemala,Washed / Wet,1310.64,0,2,0.11,7.67,7.83,7.33,7.67,7.5,7.67,83.17,1
Mexico,Washed / Wet,1500.0,0,2,0.11,7.75,7.58,7.58,7.58,7.5,7.42,83.17,1
Mexico,Washed / Wet,532.0,3,8,0.12,7.75,7.67,7.58,7.5,7.42,7.58,83.17,1
Mexico,Washed / Wet,1089.0,0,10,0.14,7.58,7.75,7.42,7.67,7.5,7.58,83.17,1
Colombia,Washed / Wet,1775.0,1,2,0.11,7.67,7.5,7.5,7.5,7.58,8.17,83.17,1
Mexico,Washed / Wet,700.0,0,5,0.13,7.75,7.5,7.42,7.75,7.58,7.58,83.17,1
Colombia,Washed / Wet,1750.0,0,0,0.11,7.58,7.67,7.5,7.58,7.67,7.67,83.17,1
Mexico,Washed / Wet,1380.0,0,5,0.11,7.5,7.75,7.58,7.58,7.67,7.5,83.17,1
Brazil,Natural / Dry,1000.0,0,1,0.12,7.75,7.67,7.58,7.5,7.58,7.58,83.17,1
Brazil,Natural / Dry,950.0,0,4,0.11,7.92,7.58,7.5,7.58,7.42,7.5,83.17,1
Guatemala,Washed / Wet,1402.08,0,10,0.0,7.75,7.5,7.67,7.5,7.92,8.0,83.17,1
Brazil,Semi-washed / Semi-pulped,1000.0,0,3,0.12,7.75,7.5,7.58,7.5,7.75,7.5,83.17,1
Brazil,Washed / Wet,900.0,0,2,0.02,7.58,7.75,7.67,7.5,7.67,7.58,83.17,1
El Salvador,Washed / Wet,1200.0,0,3,0.14,7.42,7.83,8.17,8.08,7.17,7.58,83.17,1
Ethiopia,Washed / Wet,1850.0,0,0,0.01,7.75,8.0,7.67,8.08,7.83,7.92,83.17,1
Colombia,Washed / Wet,1799.0,0,4,0.0,7.58,7.67,7.33,7.67,7.75,7.58,83.08,1
Colombia,Washed / Wet,1310.64,1,5,0.0,7.75,7.5,7.5,7.42,8.0,7.75,83.08,1
Brazil,Pulped natural / honey,905.0,0,2,0.11,7.58,7.58,7.58,7.5,7.67,7.58,83.08,1
Brazil,Natural / Dry,1.0,0,3,0.0,7.33,7.67,7.67,7.33,7.75,7.42,83.08,1
Taiwan,Natural / Dry,750.0,0,0,0.0,7.83,7.92,7.5,7.83,7.67,7.25,83.08,1
Brazil,Natural / Dry,1310.64,0,13,0.11,7.42,7.67,7.58,7.5,7.75,7.67,83.08,1
Brazil,Washed / Wet,1200.0,0,1,0.0,7.58,7.83,7.67,7.42,7.42,7.5,83.08,1
